period,roc_year,year,month,area,sex,age,population,age_scope
109年 4月,109,2020,4.0,新竹縣,女,0,2141,single age
109年 4月,109,2020,4.0,苗栗縣,性別總計,0,2819,single age
109年 4月,109,2020,4.0,苗栗縣,男,0,1484,single age
109年 4月,109,2020,4.0,苗栗縣,女,0,1335,single age
109年 4月,109,2020,4.0,彰化縣,性別總計,0,10922,single age
109年 4月,109,2020,4.0,彰化縣,男,0,5646,single age
109年 4月,109,2020,4.0,彰化縣,女,0,5276,single age
109年 4月,109,2020,4.0,南投縣,性別總計,0,2923,single age
109年 4月,109,2020,4.0,南投縣,男,0,1511,single age
109年 4月,109,2020,4.0,南投縣,女,0,1412,single age
109年 4月,109,2020,4.0,雲林縣,性別總計,0,3990,single age
109年 4月,109,2020,4.0,雲林縣,男,0,2082,single age
109年 4月,109,2020,4.0,雲林縣,女,0,1908,single age
109年 4月,109,2020,4.0,嘉義縣,性別總計,0,2722,single age
109年 4月,109,2020,4.0,嘉義縣,男,0,1406,single age
109年 4月,109,2020,4.0,嘉義縣,女,0,1316,single age
109年 4月,109,2020,4.0,屏東縣,性別總計,0,4503,single age
109年 4月,109,2020,4.0,屏東縣,男,0,2332,single age
109年 4月,109,2020,4.0,屏東縣,女,0,2171,single age
109年 4月,109,2020,4.0,臺東縣,性別總計,0,1380,single age
109年 4月,109,2020,4.0,臺東縣,男,0,737,single age
109年 4月,109,2020,4.0,臺東縣,女,0,643,single age
109年 4月,109,2020,4.0,花蓮縣,性別總計,0,2179,single age
109年 4月,109,2020,4.0,花蓮縣,男,0,1143,single age
109年 4月,109,2020,4.0,花蓮縣,女,0,1036,single age
109年 4月,109,2020,4.0,澎湖縣,性別總計,0,897,single age
109年 4月,109,2020,4.0,澎湖縣,男,0,441,single age
109年 4月,109,2020,4.0,澎湖縣,女,0,456,single age
109年 4月,109,2020,4.0,基隆市,性別總計,0,1934,single age
109年 4月,109,2020,4.0,基隆市,男,0,1013,single age
109年 4月,109,2020,4.0,基隆市,女,0,921,single age
109年 4月,109,2020,4.0,新竹市,性別總計,0,3739,single age
109年 4月,109,2020,4.0,新竹市,男,0,1973,single age
109年 4月,109,2020,4.0,新竹市,女,0,1766,single age
109年 4月,109,2020,4.0,嘉義市,性別總計,0,1539,single age
109年 4月,109,2020,4.0,嘉義市,男,0,762,single age
109年 4月,109,2020,4.0,嘉義市,女,0,777,single age
109年 4月,109,2020,4.0,金門縣,性別總計,0,1028,single age
109年 4月,109,2020,4.0,金門縣,男,0,524,single age
109年 4月,109,2020,4.0,金門縣,女,0,504,single age
109年 4月,109,2020,4.0,連江縣,性別總計,0,136,single age
109年 4月,109,2020,4.0,連江縣,男,0,70,single age
109年 4月,109,2020,4.0,連江縣,女,0,66,single age
109年 5月,109,2020,5.0,區域別總計,性別總計,0,162232,single age
109年 5月,109,2020,5.0,區域別總計,男,0,84110,single age
109年 5月,109,2020,5.0,區域別總計,女,0,78122,single age
109年 5月,109,2020,5.0,新北市,性別總計,0,26223,single age
109年 5月,109,2020,5.0,新北市,男,0,13616,single age
109年 5月,109,2020,5.0,新北市,女,0,12607,single age
109年 5月,109,2020,5.0,臺北市,性別總計,0,19058,single age
109年 5月,109,2020,5.0,臺北市,男,0,9903,single age
109年 5月,109,2020,5.0,臺北市,女,0,9155,single age
109年 5月,109,2020,5.0,桃園市,性別總計,0,20557,single age
109年 5月,109,2020,5.0,桃園市,男,0,10657,single age
109年 5月,109,2020,5.0,桃園市,女,0,9900,single age
109年 5月,109,2020,5.0,臺中市,性別總計,0,19861,single age
109年 5月,109,2020,5.0,臺中市,男,0,10246,single age
109年 5月,109,2020,5.0,臺中市,女,0,9615,single age
109年 5月,109,2020,5.0,臺南市,性別總計,0,11011,single age
109年 5月,109,2020,5.0,臺南市,男,0,5750,single age
109年 5月,109,2020,5.0,臺南市,女,0,5261,single age
109年 5月,109,2020,5.0,高雄市,性別總計,0,18007,single age
109年 5月,109,2020,5.0,高雄市,男,0,9301,single age
109年 5月,109,2020,5.0,高雄市,女,0,8706,single age
109年 5月,109,2020,5.0,宜蘭縣,性別總計,0,2825,single age
109年 5月,109,2020,5.0,宜蘭縣,男,0,1442,single age
109年 5月,109,2020,5.0,宜蘭縣,女,0,1383,single age
109年 5月,109,2020,5.0,新竹縣,性別總計,0,4341,single age
109年 5月,109,2020,5.0,新竹縣,男,0,2221,single age
109年 5月,109,2020,5.0,新竹縣,女,0,2120,single age
109年 5月,109,2020,5.0,苗栗縣,性別總計,0,2794,single age
109年 5月,109,2020,5.0,苗栗縣,男,0,1484,single age
109年 5月,109,2020,5.0,苗栗縣,女,0,1310,single age
109年 5月,109,2020,5.0,彰化縣,性別總計,0,10814,single age
109年 5月,109,2020,5.0,彰化縣,男,0,5602,single age
109年 5月,109,2020,5.0,彰化縣,女,0,5212,single age
109年 5月,109,2020,5.0,南投縣,性別總計,0,2934,single age
109年 5月,109,2020,5.0,南投縣,男,0,1527,single age
109年 5月,109,2020,5.0,南投縣,女,0,1407,single age
