year,source_file,raw_column,inferred_age_group,sex,employed_share_percent,age_harmonization_status,label_confidence
2013,ntpc_employed_age_structure.csv,percent6,30-34,male,15.14,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2013,ntpc_employed_age_structure.csv,percent7,30-34,female,16.65,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2013,ntpc_employed_age_structure.csv,percent8,35-39,male,13.91,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2013,ntpc_employed_age_structure.csv,percent9,35-39,female,14.77,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2013,ntpc_employed_age_structure.csv,percent10,40-44,male,13.43,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2013,ntpc_employed_age_structure.csv,percent11,40-44,female,13.36,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2013,ntpc_employed_age_structure.csv,percent12,45-49,male,12.77,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2013,ntpc_employed_age_structure.csv,percent13,45-49,female,12.54,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2013,ntpc_employed_age_structure.csv,percent14,50-54,male,11.83,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2013,ntpc_employed_age_structure.csv,percent15,50-54,female,10.32,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2013,ntpc_employed_age_structure.csv,percent16,55-59,male,8.89,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2013,ntpc_employed_age_structure.csv,percent17,55-59,female,6.33,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2013,ntpc_employed_age_structure.csv,percent18,60-64,male,4.26,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2013,ntpc_employed_age_structure.csv,percent19,60-64,female,1.88,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2013,ntpc_employed_age_structure.csv,percent20,65+,male,1.23,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
