city,station_uid,station_id,station_name_zh,station_name_en,lat,lon,station_address_zh,station_address_en,bikes_capacity,service_type,src_update_time,tdx_update_time,source_url
taipei,TPE500101104,500101104,YouBike2.0_捷運臺電大樓站(2號出口),YouBike2.0_MRT Taipower Building Sta. (Exit 2),25.02021000,121.52942000,辛亥路一段/羅斯福路三段口北側(辛亥路側),"Sec. 1, Xinhai Rd & Sec. 3, Roosevelt Rd (North)",18,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101105,500101105,YouBike2.0_和平金山路口,"YouBike2.0_Sec. 1, Heping E. Rd & Sec. 2, Jinshan S. Rd Intersection",25.02669000,121.52529000,和平東路一段/金山南路二段西南側,"Sec. 1, Heping E. Rd & Sec. 2, Jinshan S. Rd Intersection (Southwest)",58,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101107,500101107,YouBike2.0_和平龍泉街口,"YouBike2.0_Sec. 1, Heping E. Rd & Longquan St. Intersection",25.02638000,121.52971000,和平東路一段/龍泉街口西南側,"Sec. 1, Heping E. Rd & Longquan St. Intersection (Southwest)",34,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101108,500101108,YouBike2.0_和平泰順街口,"YouBike2.0_Sec. 1, Heping E. Rd & Taishun St  Intersection",25.02621000,121.53171000,和平東路一段/泰順街口東南側,"Sec. 1, Heping E. Rd & Taishun St  Intersection (Southeast)",19,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101109,500101109,YouBike2.0_臺灣師範大學(圖書館),YouBike2.0_National Taiwan Normal University (library),25.02660000,121.52973000,和平東路一段129號前,"No. 129, Sec. 1, Heping E. Rd.",40,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101110,500101110,YouBike2.0_捷運古亭站(6號出口),YouBike2.0_MRT Guting Sta. (Exit 6),25.02760000,121.52217000,羅斯福路二段41號前,"No. 41, Sec. 2, Roosevelt Rd",60,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101111,500101111,YouBike2.0_捷運古亭站(5號出口),YouBike2.0_MRT Guting Sta. (Exit 5),25.02715000,121.52293000,和平東路一段19號前,"No. 19, Sec. 1, Heping E. Rd",14,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101113,500101113,YouBike2.0_臺北市立圖書館(總館),YouBike2.0_Taipei Public library,25.02895000,121.53790000,建國南路二段/建國南路二段151巷(橋下空間),"Sec. 2, Jianguo S. Rd & Ln. 151, Sec. 2, Jianguo S. Rd (Under Bridge)",99,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101114,500101114,YouBike2.0_新生和平路口東北側,"YouBike2.0_Sec. 2, Xinsheng S. Rd & Sec. 2, Heping E. Rd Intersection",25.02657000,121.53515000,新生南路二段與和平東路二段口東北側,"Sec. 2, Xinsheng S. Rd & Sec. 2, Heping E. Rd (Northeast)",51,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101115,500101115,YouBike2.0_建國和平路口西北側,"YouBike2.0_Sec. 2, Jianguo S. Rd & Sec. 2, Heping E. Rd Intersection",25.02606000,121.53738000,建國南路二段與和平東路二段口西北側,"Sec. 2, Jianguo S. Rd & Sec. 2, Heping E. Rd. (Northwest)",50,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101116,500101116,YouBike2.0_金華公園,YouBike2.0_Jinhua Park,25.02984000,121.53107000,金華街249號對面,"No. 249, Jinhua St. (Opposite)",44,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101117,500101117,YouBike2.0_捷運東門站(3號出口),YouBike2.0_MRT Dongmen Sta. (Exit 3),25.03383000,121.52815000,信義路二段128號前,"No. 128, Sec. 2, Xinyi Rd.",18,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101118,500101118,YouBike2.0_金甌女中,YouBike2.0_Jin'ou Girls High School,25.03519000,121.52450000,信義路二段與杭州南路二段東南側,"Sec. 2, Xinyi Rd. & Sec. 2, Hangzhou S. Rd. (Southeast)",15,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101119,500101119,YouBike2.0_金杭公園,YouBike2.0_Jinhang Park,25.03325000,121.52436000,愛國東路21巷與杭州南路二段25巷口東南側,"Ln. 21, Aiguo E. Rd. & Ln. 25, Sec. 2, Hangzhou S. Rd. Intersection (Southeast)",20,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101120,500101120,YouBike2.0_愛國金山路口,YouBike2.0_Aiguo & Jinshan Rd. Intersection,25.03164000,121.52661000,愛國東路與杭州南路二段口西南側,"Aiguo E. Rd. & Sec. 2, Hangzhou S. Rd. Intersection (Southwest)",57,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101122,500101122,YouBike2.0_敦化南路二段293巷口南側,"YouBike2.0_Ln. 293, Sec. 2, Dunhua S. Rd (South)",25.02370000,121.54899000,敦化南路二段293巷口南側,"Ln. 293, Sec. 2, Dunhua S. Rd. (South)",14,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
